id,domaine,indicateur,jeu_de_donnees,producteur,url,granularite,debut_serie,frequence,latence_publication,format,licence,sphere_competence,ruptures,etat
FIN-01,Finances,Épargne brute et taux d'épargne brute,ofgl-base-communes / balances comptables,OFGL + DGFiP,https://data.ofgl.fr/explore/dataset/ofgl-base-communes/,Commune,2012 (ZIP) / 2018 (API),Annuelle,8-12 mois,CSV JSON API,LO 2.0,ville,R1 2018 création de la Métropole; R5 2024 M57,ok
FIN-02,Finances,Capacité de désendettement (années),ofgl-base-communes,OFGL,https://data.ofgl.fr/explore/dataset/ofgl-base-communes/,Commune,2012,Annuelle,8-12 mois,CSV JSON API,LO 2.0,ville,R1 2018,ok
FIN-03,Finances,Encours de dette €/hab (Ville + Métropole),ofgl-base-communes + comptes-groupements,OFGL,https://data.ofgl.fr/explore/dataset/ofgl-base-communes/,Commune + EPCI,2012,Annuelle,8-12 mois,CSV JSON API,LO 2.0,ville+metropole,R1 2018: la dette migre vers la Métropole (30→400 M€ 2017-2021),ok
FIN-04,Finances,Encours de dette et ratios (source locale),Encours dette et ratios - Ville de Clermont-Ferrand,Ville de Clermont-Ferrand,https://www.data.gouv.fr/organizations/clermont-auvergne-metropole,Commune,2020,Annuelle,~7 mois,CSV JSON,LO 2.0,ville,-,ok
FIN-05,Finances,Dépenses d'équipement €/hab,ofgl-base-communes,OFGL,https://data.ofgl.fr/explore/dataset/ofgl-base-communes/,Commune,2012,Annuelle,8-12 mois,CSV JSON,LO 2.0,ville,R1 2018 transfert de voirie; cycle électoral 2014/2020/2026,ok
FIN-06,Finances,Taux communal de TFPB et produit fiscal €/hab,REI - Recensement des éléments d'imposition,DGFiP,https://www.data.gouv.fr/datasets/impots-locaux-fichier-de-recensement-des-elements-dimposition-a-la-fiscalite-directe-locale-rei-4,Commune,1982,Annuelle,~12 mois,ZIP CSV,LO 2.0,ville (taux) / etat (bases),R2 2021 réforme TH + coefficient correcteur,ok
FIN-07,Finances,DGF €/hab et part dans les recettes,dotations-communes,OFGL/DGCL,https://data.ofgl.fr/explore/dataset/dotations-communes/information/,Commune,2018 (2010 via compte 7411),Annuelle,~3 mois,CSV JSON,LO 2.0,etat,Trou 2014-2017 en données ouvertes,partiel
FIN-08,Finances,Rigidité des dépenses,Balances comptables des communes,DGFiP,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-communes-en-2025/,Commune,2010,Annuelle,~7 mois,CSV JSON,LO 2.0,ville+etat (point d'indice),R5 2024 M57 renumérotation des comptes,ok
FIN-09,Finances,Subventions de fonctionnement aux associations (compte 6574),Balances comptables des communes,DGFiP,https://data.economie.gouv.fr/explore/dataset/balances-comptables-des-communes-en-2025/,Commune,2010,Annuelle,~7 mois,CSV,LO 2.0,ville,Détail par bénéficiaire indisponible pour la Ville,partiel
FIN-10,Finances,Subventions > 23 000 € (détail par bénéficiaire),Liste des subventions versées,Clermont Auvergne Métropole,https://www.data.gouv.fr/organizations/clermont-auvergne-metropole,EPCI,2020,Annuelle,~12 mois,CSV JSON,LO 2.0,metropole,Métropole seule; la Ville ne publie pas (décret 2017-779),partiel
